date,company,trip_count,fare_amount
2015-03-19,2,4535,13.053472988
2015-03-19,1,3996,13.223473473
2015-03-20,1,4117,12.709497207
2015-03-20,2,4620,12.446536797
2015-03-21,2,4748,12.433972199
2015-03-21,1,4177,12.260234618
2015-03-22,2,4462,12.997590766
2015-03-22,1,3984,13.041666667
2015-03-23,2,3923,12.716925822
2015-03-23,1,3347,12.745144906
2015-03-24,2,4131,12.712781409
2015-03-24,1,3664,12.90816048
2015-03-25,2,4186,12.806378404
2015-03-25,1,3870,13.079069767
2015-03-26,2,4106,13.498356064
2015-03-26,1,3796,13.756849315
2015-03-27,1,4160,12.992067308
2015-03-27,2,4601,13.049941317
2015-03-28,1,4597,12.090221884
2015-03-28,2,5283,12.071417755
2015-03-29,1,3798,13.203791469
2015-03-29,2,4454,12.743488999
2015-03-30,2,3893,12.931415361
2015-03-30,1,3452,13.224217845
2015-03-31,1,3643,13.004391985
2015-03-31,2,4313,13.221423603
2015-04-01,1,3985,13.043161857
2015-04-01,2,4440,13.058220721
2015-04-02,1,3964,13.648390515
2015-04-02,2,4398,13.652796726
2015-04-03,1,4121,12.534578986
2015-04-03,2,4673,12.568050503
2015-04-04,2,4578,11.75273045
2015-04-04,1,3906,11.700588838
2015-04-05,2,3968,12.770791331
2015-04-05,1,3603,12.518456842
2015-04-06,1,3628,13.089305402
2015-04-06,2,3803,13.207599264
2015-04-07,2,4236,12.595491029
2015-04-07,1,3797,12.80208059
2015-04-08,2,4507,12.872198802
2015-04-08,1,3902,12.779215787
2015-04-09,2,4502,12.76521546
2015-04-09,1,4065,12.792742927
2015-04-10,2,4620,12.998268398
2015-04-10,1,4186,12.645604396
2015-04-11,2,4876,12.853773585
2015-04-11,1,4172,12.624520614
2015-04-12,2,4179,13.317659727
2015-04-12,1,3742,13.040486371
2015-04-13,1,3406,13.285231944
2015-04-13,2,3877,13.082280113
2015-04-14,1,3571,13.074068888
2015-04-14,2,4109,13.081102458
2015-04-15,2,4200,13.613690476
2015-04-15,1,3636,13.314713971
2015-04-16,1,3950,13.757278481
2015-04-16,2,4452,13.422619048
2015-04-17,2,4594,13.381232042
2015-04-17,1,4224,13.528645833
2015-04-18,2,5141,12.931336316
2015-04-18,1,4607,12.977317126
2015-04-19,1,4137,13.471537346
2015-04-19,2,4587,13.327120122
2015-04-20,1,3546,12.930626058
2015-04-20,2,3840,12.996484375
2015-04-21,2,4176,13.42816092
2015-04-21,1,3713,13.312281174
2015-04-22,2,4402,13.795604271
2015-04-22,1,3846,13.396723869
2015-04-23,2,4537,13.842076262
2015-04-23,1,4081,13.681818182
2015-04-24,2,4532,13.842839806
2015-04-24,1,4150,13.374578313
2015-04-25,1,4490,12.476113586
2015-04-25,2,4928,12.620474838
2015-04-26,2,4325,13.247514451
2015-04-26,1,3858,13.200881286
2015-04-27,2,4016,12.995144422
2015-04-27,1,3549,13.149478726
2015-04-28,1,3662,12.742900055
2015-04-28,2,4075,13.320490798
2015-04-29,2,4293,13.703004892
2015-04-29,1,3744,13.486645299
2015-04-30,2,4335,13.93160323
2015-04-30,1,3946,13.860998479
2015-05-01,1,4146,13.752894356
2015-05-01,2,4566,14.067783618
2015-05-02,2,5409,12.351358846
2015-05-02,1,4614,12.263762462
2015-05-03,2,4511,13.137220129
2015-05-03,1,4012,13.36560319
2015-05-04,1,3529,13.502550298
2015-05-04,2,3901,13.777364778
2015-05-05,1,3871,13.28881426
2015-05-05,2,4374,13.210562414
2015-05-06,2,4389,13.132376396
2015-05-06,1,3928,13.385819756
2015-05-07,2,4336,13.848593173
2015-05-07,1,3909,13.822333078
2015-05-08,1,4058,13.689381469
2015-05-08,2,4347,13.620542903
2015-05-09,2,4785,12.557262278
2015-05-09,1,4343,12.669237854
2015-05-10,1,3665,12.934515689
2015-05-10,2,4248,13.45433145
2015-05-11,2,3923,13.725465205
2015-05-11,1,3586,13.621779141
2015-05-12,1,3558,13.860174255
2015-05-12,2,4153,13.840115579
2015-05-13,1,3918,13.964522716
2015-05-13,2,4344,13.89732965
2015-05-14,1,3805,14.544283837
2015-05-14,2,4278,14.642823749
2015-05-15,2,4515,14.13255814
2015-05-15,1,4059,14.444207933
2015-05-16,1,4103,13.278576651
2015-05-16,2,4872,13.551211002
2015-05-17,1,3917,13.63964769
2015-05-17,2,4278,14.075677887
2015-05-18,2,4033,13.405033474
2015-05-18,1,3607,13.68810646
2015-05-19,1,3839,13.609143006
2015-05-19,2,4238,14.00672487
2015-05-20,2,4320,14.066550926
